concept_cd,concept_path,name_char,concept_blob,update_date,download_date,import_date,sourcesystem_cd,upload_id,table_name
C40.0,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Anatomical Site(ICD-O-3)\BONES, JOINTS AND ARTICULAR CARTILAGE\BONES, JOINTS AND ARTICULAR CARTILAGE OF LIMBS\Long bones of upper limb, scapula and associated joints\Long bones of upper limb, scapula and associated joints\","Long bones of upper limb, scapula and associated joints",,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C02,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OTHER AND UNSPECIFIED PARTS OF TONGUE\OTHER AND UNSPECIFIED PARTS OF TONGUE\",OTHER AND UNSPECIFIED PARTS OF TONGUE,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C05,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\PALATE\PALATE\",PALATE,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C08,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS\OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS\",OTHER AND UNSPECIFIED MAJOR SALIVARY GLANDS,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C13,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\HYPOPHARYNX\HYPOPHARYNX\",HYPOPHARYNX,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C10,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\OROPHARYNX\OROPHARYNX\",OROPHARYNX,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C00,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\LIP\LIP\",LIP,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C07,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\PAROTID GLAND\PAROTID GLAND\",PAROTID GLAND,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C01,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\BASE OF TONGUE\BASE OF TONGUE\",BASE OF TONGUE,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
C04,"\Private\UNSW-MCO\Subjects\Diagnosis\Cancer Chararctersictis\Macroscopic\Metastatic Anatomical Site(ICD-O-3)\LIP, ORAL CAVITY AND PHARYNX\FLOOR OF MOUTH\FLOOR OF MOUTH\",FLOOR OF MOUTH,,16-01-2015,16-01-2015,16-01-2015,OPENSPECIMEN20,,
